data;linha;origem;destino;total transportados;Geo LocalizaÁ„o Origem;Geo LocalizaÁ„o Destino
28/jul/20;407G10;JD NOVA VITORIA;METRO CARRAO;14998;;-23.538062, -46.563073
28/jul/20;4,07E+12;JD SANTO ANDRE;METRO CARRAO;7457;;-23.538062, -46.563073
28/jul/20;377810;JD STA TEREZINHA;METRO CARRAO;32;;-23.538062, -46.563073
28/jul/20;377310;RES SANTA BARBARA;METRO CARRAO;2798;;-23.538062, -46.563073
28/jul/20;372910;SHOP ARICANDUVA;METRO CARRAO;206;;-23.538062, -46.563073
28/jul/20;407K10;TERM SAO MATEUS;METRO CARRAO;2426;;-23.538062, -46.563073
28/jul/20;507T10;TERM SAPOPEMBA;METRO CARRAO;8655;;-23.538062, -46.563073
28/jul/20;570110;VILA SANTA CATARINA;METRO CONC;4562;;-23.635417, -46.641239
28/jul/20;575751;PEDREIRA;METRO CONCEIÄAO;5163;;-23.635417, -46.641239
28/jul/20;857C10;T CAMPO LIMPO;METRO CONCEIÄAO;4606;;-23.635417, -46.641239
28/jul/20;575710;JD. MIRIAM;METRO CONCEICAO;6399;;-23.635417, -46.641239
28/jul/20;575910;PQ PRIMAVERA;METRO CONCEICAO;1922;;-23.635417, -46.641239
28/jul/20;575931;PQ PRIMAVERA;METRO CONCEICAO;3833;;-23.635417, -46.641239
28/jul/20;575210;V. MISSIONARIA;METRO CONCEICAO;9320;;-23.635417, -46.641239
28/jul/20;575C10;VILA MATIAS;METRO CONCEICAO;406;;-23.635417, -46.641239
28/jul/20;272231;JD VERONIA;METRO GUILHERMINA;223;;-23.528049, -46.516045
28/jul/20;373210;COHAB JOSE BONIFACIO;METRO ITA;4423;;-23.542297, -46.470757
28/jul/20;378510;COHAB BARRO BRANCO;METRO ITAQU;3153;;-23.542297, -46.470757
28/jul/20;378910;CIDADE TIRADENTES;METRO ITAQUE;6125;;-23.542297, -46.470757
28/jul/20;373910;RECANTO VERDE SOL;METRO ITAQUE;4949;;-23.542297, -46.470757
28/jul/20;379610;GLEBA DO PESSEGO;METRO ITAQUER;1946;;-23.542297, -46.470757
28/jul/20;303110;J ALTO PAULISTAN;METRO ITAQUER;3442;;-23.542297, -46.470757
28/jul/20;N40311;T CID TIRADENTES;METRO ITAQUER;132;;-23.542297, -46.470757
28/jul/20;273R42;JD ROBRU;METRO ITAQUERA;621;-23.522054, -46.411705;-23.542259, -46.471106
28/jul/20;273F10;VILA MARA;METRO ITAQUERA;1285;-23.485287, -46.421230;-23.547416, -46.470559
28/jul/20;375610;BARRO BRANCO;METRO ITAQUERA;4678;;-23.542297, -46.470757
28/jul/20;270710;CHABILANDIA;METRO ITAQUERA;9974;;-23.542297, -46.470757
28/jul/20;378710;CID.TIRADENTES;METRO ITAQUERA;3465;;-23.542297, -46.470757
28/jul/20;376610;COHAB II;METRO ITAQUERA;2071;;-23.542297, -46.470757
28/jul/20;373810;COHAB JUSCELINO;METRO ITAQUERA;3984;;-23.542297, -46.470757
28/jul/20;374M10;CPTM ERM MAT;METRO ITAQUERA;4552;;-23.542297, -46.470757
28/jul/20;405210;CPTM GUAIANAZES;METRO ITAQUERA;3519;;-23.542297, -46.470757
28/jul/20;374110;EST DOM BOSCO;METRO ITAQUERA;5772;;-23.542297, -46.470757
28/jul/20;375410;INACIO MONTEIRO;METRO ITAQUERA;6379;;-23.542297, -46.470757
28/jul/20;276610;J CAMARGO VELHO;METRO ITAQUERA;7241;;-23.542297, -46.470757
28/jul/20;278010;JD CAMARGO NOVO;METRO ITAQUERA;3544;;-23.542297, -46.470757
28/jul/20;273410;JD CAMPOS;METRO ITAQUERA;5338;;-23.542297, -46.470757
28/jul/20;270310;JD ETELVINA;METRO ITAQUERA;6259;;-23.542297, -46.470757
28/jul/20;270510;JD FANGANIELO;METRO ITAQUERA;2263;;-23.542297, -46.470757
