data;linha;origem;destino;total transportados;Geo LocalizaÁ„o Origem;Geo LocalizaÁ„o Destino
28/jul/20;862210;MORRO DOCE;PCA RAMOS DE AZEVED;10339;;
28/jul/20;870001;T C LIMPO;PCA RAMOS DE AZEVED;4133;;
28/jul/20;867710;JD LIBANO;PCA RAMOS DE AZEVEDO;4567;;
28/jul/20;825210;LAPA;PCA RAMOS DE AZEVEDO;295;;
28/jul/20;800001;TERM LAPA;PCA RAMOS DE AZEVEDO;2799;;
28/jul/20;411210;STA MARGARIDA MARIA;PCA REPUBL;1085;;
28/jul/20;411310;GENTIL DE MOURA;PCA REPUBLICA;6056;;
28/jul/20;513110;CIDADE ADEMAR;PCA. DA SE;1998;;
28/jul/20;514510;TERM.SAPOPEMBA;PCA.ALMEIDA JR.;2152;;
28/jul/20;117842;CJ.HAB.VILA SILVIA;PCA.CORREIO;170;;
28/jul/20;609F21;CHAC.SANTANA;PCA.ISABEL;1282;;
28/jul/20;531810;CHAC.SANTNA;PCA.SE;9255;;
28/jul/20;N23511;METRO SANTANA;PEDRA BRANCA;5;;
28/jul/20;N23111;TERM CACHOEIRINHA;PEDRA BRANCA;12;;
28/jul/20;342N10;COHAB JUSC.KUBISC;PENHA;861;;
28/jul/20;342C10;JD MARILIA;PENHA;1423;;
28/jul/20;513L10;TERM SACOMA;PENHA;2068;;
28/jul/20;875A10;AEROPORTO;PERDIZES;11;;
28/jul/20;801410;MORRO DOCE;PERUS;5104;;
28/jul/20;N13711;TERM PIRITUBA;PERUS;56;;
28/jul/20;177Y10;CASA VERDE;PINHEIROS;3301;;
28/jul/20;647P10;COHAB ADVENTISTA;PINHEIROS;8019;;
28/jul/20;809D10;COHAB EDUCANDARIO;PINHEIROS;25;;
28/jul/20;967A10;IMIRIM;PINHEIROS;3000;;
28/jul/20;809J10;JD COLOMBO;PINHEIROS;733;;
28/jul/20;809A10;JD D ABRIL;PINHEIROS;9;;
28/jul/20;517J10;JD SELMA;PINHEIROS;5156;;
28/jul/20;177H21;METRO SANTANA;PINHEIROS;3581;;
28/jul/20;704010;PARAISOPOLIS;PINHEIROS;6257;;
28/jul/20;704021;PARAISOPOLIS;PINHEIROS;66;;
28/jul/20;637A25;PIRAPORINHA;PINHEIROS;954;;
28/jul/20;701310;PQ ARARIBA;PINHEIROS;2862;;
28/jul/20;809P10;TERM CAMPO LIMPO;PINHEIROS;11990;;
28/jul/20;637A26;TERM GUARAPIRANGA;PINHEIROS;259;;
28/jul/20;709P10;TERM GUIDO;PINHEIROS;1595;;
28/jul/20;637A10;TERM JD ANGELA;PINHEIROS;15796;;
28/jul/20;930P10;TERM PQ D PEDRO II;PINHEIROS;4916;;
28/jul/20;637P10;TERM.STO.AMARO;PINHEIROS;5304;;
28/jul/20;576M10;V CLARA;PINHEIROS;4344;;
28/jul/20;647A10;VALO VELHO;PINHEIROS;5720;;
28/jul/20;637A21;VILA REMO;PINHEIROS;748;;
28/jul/20;478P10;SACOMA;POMPEIA;3144;;
28/jul/20;405610;TERM S MATEUS;PQ BOA ESPERANÄA;1558;;
28/jul/20;N83611;TERM PINHEIROS;PQ CONTINENTAL;11;;
28/jul/20;518510;TERM GUARAPIRANGA;PQ D PEDRO;6761;;
28/jul/20;259010;UNIAO DE VILA NOVA;PQ D PEDRO;7407;;
28/jul/20;258221;VILA ROBERTINA;PQ D PEDRO II;467;;
28/jul/20;245110;VL S FRANCISCO;PQ D PEDRO II;527;;
28/jul/20;N73811;TERM GUARAPIRANGA;PQ DO LAGO;27;;
28/jul/20;775F31;JD DAS PALMAS;PQ DO POVO;1424;;
28/jul/20;530010;TERM STO AMARO;PQ DOM PEDRO;10538;;
28/jul/20;372841;METR ARTUR ALVIM;PQ NOVA SAVOY;465;;
28/jul/20;N23211;METRO TUCURUVI;PQ NOVO MUNDO;6;;
28/jul/20;801010;PERUS;PQ RESIDENCIAL LAPA;7727;;
28/jul/20;N13211;TERM PIRITUBA;PQ SAO DOMINGOS;13;;
28/jul/20;372810;METRO A ALVIN;PQ SAVOY CITY;2125;;
28/jul/20;236310;JD.DANFER;PQ.D.PEDRO II;4468;-23.496266, -46.511013;-23.547433, -46.630384
28/jul/20;930010;TERM.CASA VERDE;PQ.D.PEDRO II;4545;;-23.547433, -46.630427
28/jul/20;502J10;VILA PEDREIRA;PQ.DO IBIRAPUERA;74;;
28/jul/20;189610;JARAGUA;PRAÄA RAMOS DE AZEVEDO;3217;;
28/jul/20;561410;ELDORADO;PRACA JOAO MENDES;3106;;
28/jul/20;527R10;VILA IMPERIO;REAL PARQUE;4652;;
28/jul/20;916210;JD.ALMANARA;RIO BRANCO;488;;
28/jul/20;477P10;IPIRANGA;RIO PEQUENO;6719;;
28/jul/20;512710;VILA GUACURI;RIO PEQUENO;3539;;
28/jul/20;807P10;PARAISOPOLIS;SANT0 AMARO;2888;;
28/jul/20;N84011;M VILA MARIANA;SANTA CECILIA;2;;
28/jul/20;173010;CENTER NORTE;SANTANA;1245;;
28/jul/20;971710;COHAB BRASILANDIA;SANTANA;2409;;
28/jul/20;101810;VILA ROSA;SANTANA;2960;;
28/jul/20;605010;J VALE DAS VIRTUDES;SANTO AMAR;196;;
28/jul/20;501010;CIDADE VARGAS;SANTO AMARO;4051;;
28/jul/20;501110;ELDORADO;SANTO AMARO;5769;;
28/jul/20;601210;JD ANGELA;SANTO AMARO;517;;
28/jul/20;546A10;JD APURA;SANTO AMARO;4569;;
28/jul/20;546A31;JD APURA;SANTO AMARO;5161;;
28/jul/20;681210;JD CAPELA;SANTO AMARO;940;;
28/jul/20;604310;JD CAPELINHA;SANTO AMARO;1293;;
28/jul/20;606210;JD CASTRO ALVES;SANTO AMARO;1016;;
28/jul/20;603810;JD DAS ROSAS;SANTO AMARO;1856;;
28/jul/20;603510;JD GILDA;SANTO AMARO;3005;;
28/jul/20;611810;JD ICARAI;SANTO AMARO;1910;;
28/jul/20;604110;JD JANGADEIRO;SANTO AMARO;2305;;
28/jul/20;604710;JD LIDIA;SANTO AMARO;732;;
28/jul/20;501310;JD LUSO;SANTO AMARO;9642;;
28/jul/20;603610;JD MACEDONIA;SANTO AMARO;275;;
28/jul/20;501331;JD MIRIAM;SANTO AMARO;2529;;
28/jul/20;512941;JD MIRIAM;SANTO AMARO;2793;;
28/jul/20;603710;JD MITSUTANI;SANTO AMARO;1215;;
28/jul/20;601710;JD NAKAMURA;SANTO AMARO;2958;;
28/jul/20;600810;JD PLANALTO;SANTO AMARO;1546;;
28/jul/20;604610;JD SAO BENTO NOVO;SANTO AMARO;2984;;
28/jul/20;606910;JD SAO BERNARDO;SANTO AMARO;2456;;
28/jul/20;601010;JD SAO LUIZ;SANTO AMARO;1524;;
28/jul/20;546J31;JD SELMA;SANTO AMARO;3923;;
28/jul/20;604410;JD STO EDUARDO;SANTO AMARO;1370;;
28/jul/20;604210;JD TRES ESTRELAS;SANTO AMARO;956;;
28/jul/20;602210;PQ CEREJEIRA;SANTO AMARO;866;;
28/jul/20;602810;RIVIERA;SANTO AMARO;2005;;
28/jul/20;603910;VALO VELHO;SANTO AMARO;422;;
28/jul/20;604510;VALO VELHO;SANTO AMARO;1923;;
28/jul/20;601510;VILA CALU;SANTO AMARO;4144;;
28/jul/20;502410;VILA MISSIONARIA;SANTO AMARO;4048;;
28/jul/20;502431;VILA MISSIONARIA;SANTO AMARO;3758;;
28/jul/20;303310;GUAIANAZES;SAO MATEUS;7685;;
28/jul/20;200710;CIDADE KEMEL II;SAO MIGUEL;5346;;-23.491693, -46.434792
28/jul/20;300910;ITAIM PAULISTA;SAO MIGUEL;404;;-23.491693, -46.434792
28/jul/20;201610;JD DAS OLIVEIRAS;SAO MIGUEL;2511;;-23.491693, -46.434792
28/jul/20;300210;JD MABEL;SAO MIGUEL;4786;;-23.491693, -46.434792
28/jul/20;201710;JD ROBRU;SAO MIGUEL;1916;;-23.491693, -46.434792
28/jul/20;200510;JD ROMANO;SAO MIGUEL;2792;;-23.491693, -46.434792
28/jul/20;117833;PÄA DO CORREIO;SAO MIGUEL;438;;-23.491693, -46.434792
28/jul/20;312N10;TERM CID TIRADENTES;SAO MIGUEL;9376;;-23.491693, -46.434792
28/jul/20;201810;JD CAMPOS;SAO MIGUEL CIRCULAR;1937;;
28/jul/20;N44011;TERM V CARRAO;SAVOY DALILA;9;;
28/jul/20;472510;VILA BRASILINA;SH C IBIRAPUERA;864;;
28/jul/20;302010;CONJ JOSE BONIFACIO;SHOP ARICA;1917;;
28/jul/20;302710;VILA MINERVA;SHOP ARICANDUVA;2154;;
28/jul/20;174510;VL NV CACHOEIRINHA;SHOP C NORT;2121;;
28/jul/20;176010;COHAB ANTARTICA;SHOP C NORTE;2039;;
28/jul/20;271F10;METRO BELEM;SHOP CENTER NORTE;3743;;
28/jul/20;846M10;JD MARISA;SHOP IBIRAPUERA;624;;
28/jul/20;477U10;HELIOPOLIS;SHOP IGUATEMI CIRC;894;;
28/jul/20;607810;CANTINHO DO CEU;SHOP INTERLAGO;1786;;
28/jul/20;605510;JD SAO BERNARDO;SHOP INTERLAGO;2279;;
28/jul/20;608010;JD LUCELIA;SHOP INTERLAGOS;1616;;
28/jul/20;575A10;DIV.S.CAETANO;SHOP MET.TATUAPE;391;;
28/jul/20;373M10;JD GUAIRACA;SHOP METR TATUAPE;1258;;
28/jul/20;802010;BUTANTA;SHOP MORUMBI;807;;
28/jul/20;512810;JD APURA;SHOP MORUMBI;5584;;
28/jul/20;807J10;TERM CAMPO LIMPO;SHOP MORUMBI;2508;;
28/jul/20;607M10;TERM GRAJAU;SHOP MORUMBI;1964;;
28/jul/20;220310;BURGO PAULISTA;SHOP PENHA;1498;;
28/jul/20;745M10;CAMPO LIMPO;SHOP SP MARKET;7157;;
28/jul/20;252210;VILA PROGRESSO;SHOP.ARICANDUVA;1217;-23.516094, -46.426860;-23.563890, -46.502543
28/jul/20;390310;C.A.E.CARVALHO;SHOP.PENHA;746;;
28/jul/20;607C10;JD MIRIAM;SHOPP MORUMBI;16238;;
28/jul/20;695X22;TERM.VARG.;SHOPPING INTERLAGOS;1011;;
28/jul/20;807M10;T CAMPO LIMPO;SHOPPING MORUMBI;3683;;
28/jul/20;201910;PQ PAINEIRAS;SHOPPING PENHA;1719;;
28/jul/20;607A10;JD APURA;SOCORRO;5379;;
28/jul/20;856R10;LAPA;SOCORRO;7280;;
28/jul/20;736I10;JD INGA;STO AMARO;4088;;
28/jul/20;746H10;JD JAQUELINE;STO AMARO;12517;;
28/jul/20;756A10;JD PAULO VI;STO AMARO;3541;;
28/jul/20;746V10;JD REBOUCAS;STO AMARO;1824;;
28/jul/20;546J10;JD SELMA;STO AMARO;3179;;
28/jul/20;746C10;JD TABOAO;STO AMARO;8950;;
28/jul/20;746P10;PARAISOPOLIS;STO AMARO;5774;;
28/jul/20;746R10;REAL PARQUE;STO AMARO;2313;;
28/jul/20;604910;VALO VELHO;STO AMARO;3543;;
28/jul/20;604810;JD.ANGELA;STO.AMARO;5689;;
28/jul/20;208810;CJ ENCOST NORTE;T A E CARVALHO;2056;;
28/jul/20;475M10;JD DA SAUDE;T AMARAL GURGEL;621;;
28/jul/20;706210;INOCOOP C LIMPO;T CAMPO LIMPO;385;;
28/jul/20;705322;JD MARIA SAMPAIO;T CAMPO LIMPO;164;;
28/jul/20;704910;PARQUE DO LAGO;T CAMPO LIMPO;1496;;
28/jul/20;306441;S ETELVINA II B6;T CID TIRADEN;248;;
28/jul/20;N43711;EST GUAIANAZES;T CID TIRADENTE;68;;
28/jul/20;625831;PQ FIGUEIRA G;T GUARAPIRANGA;419;;
28/jul/20;101510;CHAC MARIA TRINDADE;T JD BRITA;299;;
28/jul/20;N30111;TERM A E CARVALHO;T P D PEDRO;330;;
28/jul/20;266621;JD CAMARGO VELH;T P D PEDRO II;320;;
28/jul/20;N80111;T METRO BUTANTA;T P D PEDRO II;1;;
28/jul/20;N80111;T METRO BUTANTA;T P D PEDRO II;39;;
28/jul/20;428810;VILA INDUSTRIAL;T P D PEDRO II;1794;;
28/jul/20;509J10;J SELMA VIA JOANIZA;T P ISABEL;3626;;
28/jul/20;346241;CID A E CARVALHO;T PQ D PEDRO;199;-23.53977, -46.47411;-23.549699, -46.625929
28/jul/20;431410;INACIO MONTEIRO;T PQ D PEDRO;4255;;
28/jul/20;421010;T CID TIRADENTES;T PQ D PEDRO;8062;;
28/jul/20;431310;T CID TIRADENTES;T PQ D PEDRO;22636;;
28/jul/20;255241;JD S MARTINHO;T PQ D PEDRO II;779;;
28/jul/20;N60411;MET JABAQUARA;T PQ D PEDRO II;81;;
28/jul/20;N30211;T A E CARVALHO;T PQ D PEDRO II;139;;
28/jul/20;229021;T S?O MATEUS;T PQ D PEDRO II;645;;
28/jul/20;431510;T VILA CARRAO;T PQ D PEDRO II;4418;;
28/jul/20;431110;TER SAO MATEUS;T PQ D PEDRO II;6192;;
28/jul/20;N80211;TERM PINHEIROS;T PQ D PEDRO II;35;;
28/jul/20;N50111;TERM S MATEUS;T PQ D PEDRO II;142;;
28/jul/20;N70111;TERM STO AMARO;T PQ D PEDRO II;143;;
28/jul/20;N70211;TERM STO AMARO;T PQ D PEDRO II;145;;
28/jul/20;N40111;TERM VL CARRAO;T PQ D PEDRO II;53;;
28/jul/20;428410;V CALIFORNIA;T PQ D PEDRO II;536;;
28/jul/20;346210;VILA SANTANA;T PQ D PEDRO II;2104;;
28/jul/20;252310;VILA PROGRESSO;T PRINC ISABEL;851;;
28/jul/20;N40611;TERM CID TIRADENTES;T S MATEUS;98;;
28/jul/20;401210;JD DA CONQUISTA;T SAO MAETEUS;3950;;
28/jul/20;401010;JD NSA SRA DO CARMO;T V CARRAO;705;;
28/jul/20;900542;SITIO D FRANCOS;T V N CACHOEIR;75;;
28/jul/20;607510;JD REC CAMPO BELO;T VARGINHA;611;;
28/jul/20;574J10;METRO CONCEICAO;T VILA CARRAO;10990;;
28/jul/20;900541;JD.VISTA ALEGRE;T.CACHOEIRINHA;403;;
28/jul/20;681810;JD VALE DAS VIRTUDES;T.CAPELIN;2586;;-23.654266, -46.762191
28/jul/20;514310;TERM.SAPOPEMBA;T.D.PEDRO II;1595;;
28/jul/20;680610;JD NOVO HORIZONTE;T.JOAO DIAS;2357;;-23.643669, -46.733927
28/jul/20;345924;ITAIM PAULISTA;T.PQ D.PEDROII;935;;
28/jul/20;514210;TERM.SAPOPEMBA;T.PQ.D.PEDRO II;5712;;
28/jul/20;718110;CID.UNIVERSITARIA;T.PR.ISABEL;398;;
28/jul/20;514410;TERM.SAPOPEMBA;T.PRINC.ISABEL;3654;;
28/jul/20;253F10;TERM.A.E.CARVALHO;T.SAO MATEUS;2113;;
28/jul/20;N13411;TERM CACHOEIRINHA;TAIPAS;28;;
28/jul/20;172J10;JD BRASIL;TATUAPE;8791;;
28/jul/20;374510;JD IMPERADOR;TATUAPE;1;;
28/jul/20;172K10;JD TREMEMBE;TATUAPE;6484;;
28/jul/20;172X10;PQ NOVO MUNDO;TATUAPE;9917;;
28/jul/20;N53211;T SAPOPEMBA;TEOTONIO H S MATEU;22;;
28/jul/20;N53111;T SAPOPEMBA;TEOTONIO T SACOMA;50;;
28/jul/20;266610;JD CAMARGO VELHO;TER P D PEDRO;7325;;
28/jul/20;258210;VILA NOVA CURUÄA;TER P D PEDRO;8687;;
28/jul/20;411410;VILA GUMERCINDO;TER PQ D PEDRO;491;;
28/jul/20;778R10;COH RAP TAVARES;TER PRINC ISAB;26;;
28/jul/20;701621;VILA SANTA LUCIA;TER STO AMARO;530;;
28/jul/20;606342;CHACARA STO AMARO;TER VARGINHA;680;;
28/jul/20;401410;JD VILA CARRAO;TER VILA CARRAO;1964;;
28/jul/20;302410;VLA INDUSTRIAL;TER VL PRUDENTE;1104;;
28/jul/20;203110;JD CAMARGO NOVO;TERM A E CARVA;3214;;
28/jul/20;301010;CEM DA SAUDADE;TERM A E CARVAL;520;;
28/jul/20;305110;ERM MATARAZZO;TERM A E CARVALH;934;;
28/jul/20;208010;CID KEMEL;TERM ARICANDUVA;6343;;
28/jul/20;267841;J CAMARGO NOVO;TERM ARICANDUVA;609;;
28/jul/20;207910;JD NELIA;TERM ARICANDUVA;2116;;
28/jul/20;N30311;T A E CARVALHO;TERM ARICANDUVA;11;;
28/jul/20;N30411;TER SAO MIGUEL;TERM ARICANDUVA;53;-23.491693, -46.434792;
28/jul/20;650510;TERM GUARAPIRANGA;TERM BANDEIR;12679;;
28/jul/20;200210;TERM P D PEDRO II;TERM BANDEIR;1942;;
28/jul/20;625010;JD JAQUELINE;TERM BANDEIRA;2;;
28/jul/20;861010;JD PAULO VI;TERM BANDEIRA;3;;
28/jul/20;641810;REAL PARQUE;TERM BANDEIRA;404;;
28/jul/20;629110;SHOP MORUMBI;TERM BANDEIRA;5377;;
28/jul/20;641410;SOCORRO;TERM BANDEIRA;2275;;
28/jul/20;860510;TERM CAMPO LIMPO;TERM BANDEIRA;6075;;
28/jul/20;620010;TERM STO AMARO;TERM BANDEIRA;13542;;
28/jul/20;642210;V CRUZEIRO;TERM BANDEIRA;1149;;
28/jul/20;903221;JD DAMASCENO;TERM CACHOEIRINHA;8;;
28/jul/20;706231;CAMPO LIMPO;TERM CAMPO LIMPO;354;;
28/jul/20;705010;JD DAS ROSAS;TERM CAMPO LIMPO;1978;;
28/jul/20;705510;JD GUARUJA;TERM CAMPO LIMPO;7244;;
28/jul/20;705210;JD HELGA;TERM CAMPO LIMPO;117;;
28/jul/20;705310;JD MACEDONIA;TERM CAMPO LIMPO;412;;
28/jul/20;705410;JD MACEDONIA;TERM CAMPO LIMPO;89;;
28/jul/20;706310;JD MACEDONIA;TERM CAMPO LIMPO;814;;
28/jul/20;705710;JD MITSUTANI;TERM CAMPO LIMPO;434;;
28/jul/20;705110;JD ROSANA;TERM CAMPO LIMPO;865;;
28/jul/20;705910;PQ DO ENGENHO;TERM CAMPO LIMPO;1665;;
28/jul/20;N74511;TER CAPELINHA;TERM CAMPO LIMPO;90;;
28/jul/20;706010;VALO VELHO;TERM CAMPO LIMPO;2094;;
28/jul/20;681631;JARDIM MITSUTANI;TERM CAPELINH;1485;;
28/jul/20;681510;JD COMERCIAL;TERM CAPELINHA;1826;;-23.654266, -46.762191
28/jul/20;682010;JD DAS ROSAS;TERM CAPELINHA;3334;;-23.654266, -46.762191
28/jul/20;682110;JD JANGADEIRO;TERM CAPELINHA;2623;;-23.654266, -46.762191
28/jul/20;681310;JD LIDIA;TERM CAPELINHA;877;;-23.654266, -46.762191
28/jul/20;682210;JD MACEDONIA;TERM CAPELINHA;4870;;-23.654266, -46.762191
28/jul/20;681610;JD MITSUTANI;TERM CAPELINHA;1376;;-23.654266, -46.762191
28/jul/20;681710;JD SAO BENTO;TERM CAPELINHA;1784;;-23.654266, -46.762191
28/jul/20;682610;JD STO EDUARDO;TERM CAPELINHA;1901;;-23.654266, -46.762191
28/jul/20;682410;PQ FERNANDA;TERM CAPELINHA;2653;;-23.654266, -46.762191
28/jul/20;682510;VALO VELHO;TERM CAPELINHA;2756;;-23.654266, -46.762191
28/jul/20;683710;JD DAS PALMAS;TERM CAPELINHA;4536;;
28/jul/20;684010;JD JACIRA;TERM CAPELINHA;11455;;
28/jul/20;374910;GUAIANAZES;TERM CARRAO;2399;-23.576616, -46.409774;-23.558399, -46.522759
28/jul/20;351F10;JACANA;TERM CARRAO;3697;;
28/jul/20;909010;PQ TIETE;TERM CASA VERDE;1559;;
28/jul/20;N14211;TERM PIRITUBA;TERM CASA VERDE;10;;
28/jul/20;408610;CID TIRADENTES;TERM CID TIRADE;1409;;
28/jul/20;409210;SETOR IIB;TERM CID TIRADENTES;505;;
28/jul/20;935410;N SRA FATIMA;TERM CORREIO;3199;;
28/jul/20;510710;TERM SACOMA;TERM CORREIO;4061;;
28/jul/20;510519;TERM MERCADO;TERM DIANOPOLIS;297;;
28/jul/20;611510;CANTINHO DO CEU;TERM GRAJAU;2548;;
28/jul/20;609210;JD DAS PEDRAS;TERM GRAJAU;2549;;
28/jul/20;605310;JD ELLUS;TERM GRAJAU;1332;;
28/jul/20;612010;JD LUCELIA;TERM GRAJAU;2792;;
28/jul/20;606110;JD MARILDA;TERM GRAJAU;3095;;
28/jul/20;601610;JD NORONHA;TERM GRAJAU;4193;;
28/jul/20;601641;JD PORTO VELHO;TERM GRAJAU;4724;;
28/jul/20;611610;JD PRAINHA;TERM GRAJAU;1010;;
28/jul/20;605610;PQ SANTA CECILIA;TERM GRAJAU;3064;;
28/jul/20;605710;VILA NATAL;TERM GRAJAU;4795;;
28/jul/20;701710;JD GUARUJA;TERM GUARAPIRANGA;1486;;
28/jul/20;701210;PQ DO LAGO;TERM GUARAPIRANGA;913;;
28/jul/20;603521;V GILDA;TERM GUARAPIRANGA;1042;;
28/jul/20;700410;JD JACIRA;TERM GUIDO;8984;;
28/jul/20;700110;VILA GILDA;TERM JD ANGELA;7413;;
28/jul/20;101210;JD MONTE BELO;TERM JD BRITANIA;3247;;
28/jul/20;801341;JD PAINEIRAS;TERM JD BRITANIA;1223;;
28/jul/20;683610;CAPAO REDONDO;TERM JOAO DIAS;3857;;-23.643669, -46.733927
28/jul/20;680310;JD.CAPELINHA;TERM JOAO DIAS;2729;;-23.643669, -46.733927
28/jul/20;680110;JD.IBIRAPUERA;TERM JOAO DIAS;3074;;-23.643669, -46.733927
28/jul/20;680410;JD.INGA;TERM JOAO DIAS;2885;;-23.643669, -46.733927
28/jul/20;680510;TERM CAPELINHA;TERM JOAO DIAS;3392;;-23.643669, -46.733927
28/jul/20;680151;JD IBIRAPUERA;TERM JOAO DIAS;994;;
28/jul/20;702110;JD MARACA;TERM JOAO DIAS;2297;;
28/jul/20;604121;MONTE AZUL;TERM JOAO DIAS;465;;
28/jul/20;680531;TERM CAPELINHA;TERM JOAO DIAS;2487;;
28/jul/20;800210;DOMITILA;TERM LAPA;2039;;
28/jul/20;901210;ITABERABA;TERM LAPA;759;;
28/jul/20;800410;SANTA MONICA;TERM LAPA;3132;;
28/jul/20;N10511;TERM CACHOEIRINHA;TERM LAPA;50;;
28/jul/20;830001;TERM PIRITUBA;TERM LAPA;539;;
28/jul/20;830010;TERM PIRITUBA;TERM LAPA;2092;;
28/jul/20;N10311;TERM PIRITUBA;TERM LAPA;20;;
28/jul/20;N10411;TERM PIRITUBA;TERM LAPA;61;;
28/jul/20;810010;TERMPIRITUBA;TERM LAPA;4616;;
28/jul/20;800310;V REMEDIOS;TERM LAPA;2054;;
28/jul/20;800110;VILA PIAUI;TERM LAPA;1213;;
28/jul/20;511023;JD PLANALTO;TERM MERCADO;593;;
28/jul/20;511010;TERM SAO MATEUS;TERM MERCADO;9059;;
28/jul/20;353910;CIDADE TIRADENTES;TERM P D PED;7866;;
28/jul/20;345921;CEM DA SAUDADE;TERM P D PEDRO;1465;;
28/jul/20;345910;ITAIM PAULISTA;TERM P D PEDRO;15175;;
28/jul/20;422110;JD PLANALTO;TERM P D PEDRO;2007;;
28/jul/20;475R10;JD SAO SAVERIO;TERM P D PEDRO;7775;;
28/jul/20;267810;OLIVEIRINHA;TERM P D PEDRO;8524;;
28/jul/20;339010;TERM S MATEUS;TERM P D PEDRO;6999;;
28/jul/20;314110;TERM SAO MATEUS;TERM P D PEDRO;5471;;
28/jul/20;258310;VILA CURUCA;TERM P D PEDRO;1359;;
28/jul/20;341410;VILA DALILA;TERM P D PEDRO;2176;;
28/jul/20;449110;ZOOLOGICO;TERM P D PEDRO;2934;;
28/jul/20;316110;JD COLORADO;TERM P D PEDRO II;217;;
28/jul/20;978L10;TERM CACHOEIRNHA;TERM P ISABEL;1828;;
28/jul/20;170310;CAMPO LIMPO;TERM PARADA INGLES;2284;;
28/jul/20;178010;JD HEBRON;TERM PARADA INGLESA;2324;;
28/jul/20;6L0441;JD FONTES;TERM PARELH;259;;
28/jul/20;6L0442;JD ORIENTAL;TERM PARELH;314;;
28/jul/20;6L0510;BARRAGEM;TERM PARELHEIROS;2488;;
28/jul/20;6L0210;EUCALIPTOS;TERM PARELHEIROS;207;;
28/jul/20;6L0410;JD ORIENTAL;TERM PARELHEIROS;1485;;
28/jul/20;6L0810;PAPAI NOEL;TERM PARELHEIROS;406;;
28/jul/20;609121;VARGEM GRANDE;TERM PARELHEIROS;118;;
28/jul/20;403A10;EST JOSE BONIFACIO;TERM PENHA;3878;;
28/jul/20;207610;JD DAS OLIVEIRAS;TERM PENHA;4531;;
28/jul/20;342M10;TERM SAO MATEUS;TERM PENHA;10357;;
28/jul/20;N40411;TERM SAO MATEUS;TERM PENHA;98;;
28/jul/20;N30711;TERMP Q D PEDRO II;TERM PINHEI;56;;
28/jul/20;N20511;TERM CACHOEIRINHA;TERM PINHEIR;57;;
28/jul/20;N70611;TERM CAMPO LIMPO;TERM PINHEIRO;125;;
28/jul/20;709M10;TERMIN STO AMARO;TERM PINHEIRO;2853;;
28/jul/20;209P01;CACHOEIRINHA;TERM PINHEIROS;3403;;
28/jul/20;209P10;CACHOEIRINHA;TERM PINHEIROS;10601;;
28/jul/20;N20211;MET SANTANA;TERM PINHEIROS;33;;
28/jul/20;208M10;METRO SANTANA;TERM PINHEIROS;5135;;
28/jul/20;N74211;TERM JOAO DIAS;TERM PINHEIROS;46;;
28/jul/20;N50511;TERM SACOMA;TERM PINHEIROS;25;;
28/jul/20;N70511;TERM STO AMARO;TERM PINHEIROS;73;;
28/jul/20;918842;CAPELA DA LAGOA;TERM PIRITUBA;64;;
28/jul/20;102110;COHAB BRASILANDI;TERM PIRITUBA;1194;;
28/jul/20;801710;CPTM VILA AURORA;TERM PIRITUBA;2546;;
28/jul/20;800610;JD DONARIA;TERM PIRITUBA;2767;;
28/jul/20;901910;JD PAULISTA;TERM PIRITUBA;3652;;
28/jul/20;902310;PQUE DE TAIPAS;TERM PIRITUBA;4679;;
28/jul/20;800710;VILA CLARICE;TERM PIRITUBA;2107;;
28/jul/20;901810;VILA MIRANTE;TERM PIRITUBA;656;;
28/jul/20;902010;VILA MIRANTE;TERM PIRITUBA;1426;;
28/jul/20;901510;VILA ZATT;TERM PIRITUBA;1503;;
28/jul/20;948A10;VL ZATTI;TERM PIRITUBA;2040;;
28/jul/20;N20711;TERM CASA VERDE;TERM PQ D PEDR;27;;
28/jul/20;330110;TERM SAO MIGUEL;TERM PQ D PEDR;4724;-23.491693, -46.434792;
28/jul/20;431010;E.T.ITAQUERA;TERM PQ D PEDRO;32785;;
28/jul/20;N20311;MET TUCURUVI;TERM PQ D PEDRO;102;;
28/jul/20;N30811;METRO ITAQUERA;TERM PQ D PEDRO;216;;
28/jul/20;210410;METRO SANTANA;TERM PQ D PEDRO;4834;;
28/jul/20;N20411;METRO TUCURUVI;TERM PQ D PEDRO;118;;
28/jul/20;N50311;TER SAO MATEUS;TERM PQ D PEDRO;102;;
28/jul/20;909T01;TERM PINHEIROS;TERM PQ D PEDRO;925;;
28/jul/20;510810;JD CELESTE;TERM PQ D PEDRO II;11031;;
28/jul/20;431210;JD MARILIA;TERM PQ D PEDRO II;5637;;
28/jul/20;N60111;TERM GRAJAU;TERM PQ D PEDRO II;152;;
28/jul/20;N10111;TERM LAPA;TERM PQ D PEDRO II;60;;
28/jul/20;N10211;TERM LAPA;TERM PQ D PEDRO II;51;;
28/jul/20;3,90E+12;TERM PENHA;TERM PQ D PEDRO II;2758;;
28/jul/20;N50211;TERM SACOMA;TERM PQ D PEDRO II;40;;
28/jul/20;N50411;TERM SACOMA;TERM PQ D PEDRO II;44;;
28/jul/20;N50811;TERM SACOMA;TERM PQ D PEDRO II;11;;
28/jul/20;669A10;TERM STO AMARO;TERM PRI ISABEL;6059;;-23.534336, -46.644701
28/jul/20;848L10;RECANTO DOS HUMILDES;TERM PRIN;3413;;
